#OPEN_EXPORT: 2020.4.14.1354
#Datum vytvoøení souboru: 15.04.2020 13:20
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B1HODO01;Hodonín;01.01.1961;31.08.1971;17,1317;48,8575;180
B1HODO01;Hodonín;01.09.1971;31.12.1972;17,1358;48,8536;180
B1HODO01;Hodonín;01.01.1973;30.06.1977;17,1206;48,8456;160
B1HODO01;Hodonín;01.07.1977;31.07.1978;17,1208;48,8564;187
B1HODO01;Hodonín;01.11.1978;30.06.1980;17,1419;48,8658;186
B1HODO01;Hodonín;01.05.1981;30.04.1986;17,1403;48,8594;164
B1HODO01;Hodonín;01.09.1986;29.02.1992;17,1444;48,8628;164
B1HODO01;Hodonín;01.08.1992;09.06.2003;17,0972;48,8314;161
B1HODO01;Hodonín;10.06.2003;30.11.2017;17,1456;48,8617;174
B1HODO01;Hodonín;01.12.2017;31.12.2019;17,104872;48,854292;172

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje
Anemoindikátor;01.01.1961;31.07.1978;10
Anemoindikátor;01.11.1978;30.06.1980;10

PRVEK
Prùmìrná denní rychlost vìtru [F.AVG, m/s]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1962;11;18;8;
1962;11;19;1,7;
1962;11;20;1,7;
1962;11;21;2;
1962;11;22;1,7;
1962;11;23;2;
1962;11;24;5;
1962;11;25;4;
1962;11;26;3,7;
1962;11;27;,3;
1962;11;28;0;
1962;11;29;1,7;
1962;11;30;,7;
1962;12;1;2,3;
1962;12;2;2;
1962;12;3;,3;
1962;12;4;0;
1962;12;5;0;
1962;12;6;0;
1962;12;7;,3;
1962;12;8;0;
1962;12;9;8;
1962;12;10;3,3;
1962;12;11;,7;
1962;12;12;8;
1962;12;13;7,3;
1962;12;14;1;
1962;12;15;2,7;
1962;12;16;2,7;
1962;12;17;2,7;
1962;12;18;,7;
1962;12;19;2,3;
1962;12;20;4;
1962;12;21;4;
1962;12;22;6,3;
1962;12;23;9;
1962;12;24;3,3;
1962;12;25;3,7;
1962;12;26;3;
1962;12;27;,7;
1962;12;28;1,3;
1962;12;29;4,7;
1962;12;30;,3;
1962;12;31;2,7;
1963;01;1;2,7;
1963;01;2;,7;
1963;01;3;3,3;
1963;01;4;1,3;
1963;01;5;1,7;
1963;01;6;1,3;
1963;01;7;2,7;
1963;01;8;2;
1963;01;9;,3;
1963;01;10;3;
1963;01;11;2,7;
1963;01;12;8;
1963;01;13;11;
1963;01;14;1,7;
1963;01;15;5,7;
1963;01;16;2,7;
1963;01;17;,3;
1963;01;18;2;
1963;01;19;2;
1963;01;20;4,3;
1963;01;21;3,7;
1963;01;22;1;
1963;01;23;1;
1963;01;24;1,3;
1963;01;25;1,7;
1963;01;26;,7;
1963;01;27;1,3;
1963;01;28;0;
1963;01;29;0;
1963;01;30;2;
1963;01;31;4;
1963;02;1;0;
1963;02;2;0;
1963;02;3;,7;
1963;02;4;,7;
1963;02;5;,7;
1963;02;6;1,3;
1963;02;7;3,3;
1963;02;8;0;
1963;02;9;,7;
1963;02;10;2,7;
1963;02;11;7;
1963;02;12;7;
1963;02;13;2,3;
1963;02;14;1,3;
1963;02;15;6,3;
1963;02;16;3;
1963;02;17;0;
1963;02;18;0;
1963;02;19;,3;
1963;02;20;1,3;
1963;02;21;1,7;
1963;02;22;5,7;
1963;02;23;1,3;
1963;02;24;,3;
1963;02;25;,7;
1963;02;26;6;
1963;02;27;5,3;
1963;02;28;2;
1963;03;1;1;
1963;03;2;0;
1963;03;3;0;
1963;03;4;0;
1963;03;5;,7;
1963;03;6;0;
1963;03;7;0;
1963;03;8;,7;
1963;03;9;,7;
1963;03;10;3,3;
1963;03;11;3;
1963;03;12;,7;
1963;03;13;7,7;
1963;03;14;4;
1963;03;15;2,7;
1963;03;16;2,7;
1963;03;17;2,3;
1963;03;18;1,3;
1963;03;19;0;
1963;03;20;2,7;
1963;03;21;2;
1963;03;22;3,3;
1963;03;23;6,3;
1963;03;24;2;
1963;03;25;2,7;
1963;03;26;2,7;
1963;03;27;,7;
1963;03;28;1,3;
1963;03;29;2,7;
1963;03;30;6,7;
1963;03;31;3,3;
1963;04;1;5,3;
1963;04;2;4,7;
1963;04;3;0;
1963;04;4;,3;
1963;04;5;4,7;
1963;04;6;6,3;
1963;04;7;4,7;
1963;04;8;2;
1963;04;9;4;
1963;04;10;10;
1963;04;11;3,3;
1963;04;12;,7;
1963;04;13;1,7;
1963;04;14;2;
1963;04;15;0;
1963;04;16;,7;
1963;04;17;5,7;
1963;04;18;4;
1963;04;19;2;
1963;04;20;1;
1963;04;21;3,3;
1963;04;22;2;
1963;04;23;1,7;
1963;04;24;2,3;
1963;04;25;4,7;
1963;04;26;5,7;
1963;04;27;3,3;
1963;04;28;,7;
1963;04;29;1;
1963;04;30;,7;
1963;05;1;1,7;
1963;05;2;3,3;
1963;05;3;1;
1963;05;4;0;
1963;05;5;1;
1963;05;6;3,7;
1963;05;7;2,7;
1963;05;8;1,3;
1963;05;9;1,7;
1963;05;10;1;
1963;05;11;,7;
1963;05;12;1;
1963;05;13;1,3;
1963;05;14;,7;
1963;05;15;3,3;
1963;05;16;1;
1963;05;17;1;
1963;05;18;1,7;
1963;05;19;2;
1963;05;20;1,7;
1963;05;21;1;
1963;05;22;,3;
1963;05;23;1,7;
1963;05;24;,7;
1963;05;25;,7;
1963;05;26;1;
1963;05;27;,7;
1963;05;28;1,3;
1963;05;29;1,7;
1963;05;30;,7;
1963;05;31;3,3;
1963;06;1;3,3;
1963;06;2;11;
1963;06;3;4,3;
1963;06;4;1;
1963;06;5;6,3;
1963;06;6;3,3;
1963;06;7;1;
1963;06;8;2,7;
1963;06;9;2,7;
1963;06;10;1,7;
1963;06;11;1;
1963;06;12;1;
1963;06;13;2,3;
1963;06;14;,7;
