"id";"X";"Y";"ELEVATION";"NAME";"FNAME";"STATION_TYP";"geometry";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";"pres"
"B2VALT01";16.759167;48.745833;195;"Valtice";"Valtice";"MSS";"POINT (16.759167 48.745833)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VATI01";15.96806;49.52306;558;"Vatín";"Vatín";"AKS1";"POINT (15.96806 49.52306)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2VBIT01";16.221;49.2918;485;"Velká Bíteš";"Velká Bíteš";"ASS";"POINT (16.221 49.2918)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VEBI01";16.4317;49.2767;246;"Veverská Bítýška";"Veverská Bítýška";"MSS";"POINT (16.4317 49.2767)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VECO01";16.2019;49.6153;550;"Vecov";"Vecov, Jimramovské Pavlovice";"MSS";"POINT (16.2019 49.6153)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VIRP01";16.3139;49.5642;473;"Vír";"Vír";"MSS";"POINT (16.3139 49.5642)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VMEZ01";16.0086;49.3528;452;"Velké Mezirící";"Velké Mezirící";"AKS1";"POINT (16.0086 49.3528)";"tmean";"tmax";"tmin";"humid";"prec";"snow";"solr";"wind";NA
"B2VRAN01";15.8186;48.9056;354;"Vranov nad Dyjí";"Vranov nad Dyjí";"MSS";"POINT (15.8186 48.9056)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2VSTU01";15.7303;49.3931;568;"Vysoké Studnice";"Vysoké Studnice";"ASS";"POINT (15.7303 49.3931)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2ZAST01";16.36313;49.19298;375;"Zastávka";"Zastávka";"MSS";"POINT (16.36313 49.19298)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B2ZDAN01";17.025556;49.071944;238;"Ždánice";"Ždánice";"AKS3";"POINT (17.025556 49.071944)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;NA;NA
"B2ZDAN01";17.025556;49.071944;238;"Ždánice";"Ždánice";"AKS3";"POINT (17.025556 49.071944)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;NA;NA
"B2ZIDL01";16.6152;49.0319;183;"Židlochovice";"Židlochovice";"MSS";"POINT (16.6152 49.0319)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"B4HERA01";15.960258;49.694406;685;"Herálec";"Herálec";"ASNS";"POINT (15.960258 49.694406)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"B4NEMO00";17.1333;49.1833;280;"Nemochovice";"Nemochovice";"ASS";"POINT (17.1333 49.1833)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"B4SUMR01";15.330078;49.175992;650;"Studená";"Studená, Sumrakov";"ASNS";"POINT (15.330078 49.175992)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"B4ZITK01";17.867778;48.9925;705;"Žítková";"Žítková";"ASNS";"POINT (17.867778 48.9925)";NA;NA;NA;NA;NA;NA;NA;NA;NA
"C1BAVO01";14.089722;49.123889;416;"Bavorov";"Bavorov";"MSS";"POINT (14.089722 49.123889)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"C1BERN01";14.389167;49.366111;485;"Bernartice";"Bernartice";"ASS";"POINT (14.389167 49.366111)";NA;NA;NA;NA;"prec";"snow";NA;NA;NA
"C1BLAD01";13.661958;48.99055;898;"Borová Lada";"Borová Lada";"AKS3";"POINT (13.661958 48.99055)";"tmean";"tmax";"tmin";NA;"prec";"snow";NA;NA;NA
"C1BLAD01";13.661958;48.99055;898;"Borová Lada";"Borová Lada";"AKS3";"POINT (13.661958 48.99055)";"tmean";"tmax";"tmin";NA;"prec";"snow";NA;NA;NA
"C1BLAT01";13.8731;49.4333;452;"Blatná";"Blatná";"MSS";"POINT (13.8731 49.4333)";"tmean";"tmax";"tmin";"humid";"prec";"snow";NA;"wind";NA
